CodigoSubregion,NombreSubregion,CodigoDepartamento,NombreDepartamento,CodigoMunicipio,NombreMunicipio,Localizacion
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19050,ARGELIA,"(2.26667, -77.25)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19075,BALBOA,"(2.1, -77.2)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19110,BUENOS AIRES,"(2.91667, -76.6667)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19130,CAJIBÍO,"(2.66667, -76.6667)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19137,CALDONO,"(2.83333, -76.4167)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19142,CALOTO,"(3.08333, -76.3333)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19212,CORINTO,"(3.16667, -76.2)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19256,EL TAMBO,"(2.5, -77.0)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19364,JAMBALÓ,"(2.85, -76.3167)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19450,MERCADERES,"(1.75, -77.1667)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19455,MIRANDA,"(3.25, -76.25)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19473,MORALES,"(2.8, -76.6667)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19532,PATÍA,"(2.11556, -76.9892)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19548,PIENDAMÓ,"(2.75, -76.5)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19698,SANTANDER DE QUILICHAO,"(3.01306, -76.4867)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19780,SUÁREZ,"(2.95889, -76.6953)"
1,ALTO PATÍA Y NORTE DEL CAUCA,19,CAUCA,19821,TORIBIO,"(3.0, -76.1667)"
1,ALTO PATÍA Y NORTE DEL CAUCA,52,NARIÑO,52233,CUMBITARA,"(1.65333, -77.5833)"
1,ALTO PATÍA Y NORTE DEL CAUCA,52,NARIÑO,52256,EL ROSARIO,"(1.83333, -77.3333)"
1,ALTO PATÍA Y NORTE DEL CAUCA,52,NARIÑO,52405,LEIVA,"(1.9375, -77.3081)"
1,ALTO PATÍA Y NORTE DEL CAUCA,52,NARIÑO,52418,LOS ANDES,"(1.51556, -77.495)"
1,ALTO PATÍA Y NORTE DEL CAUCA,52,NARIÑO,52540,POLICARPA,"(1.63167, -77.4617)"
1,ALTO PATÍA Y NORTE DEL CAUCA,76,VALLE DEL CAUCA,76275,FLORIDA,"(3.3275, -76.2386)"
1,ALTO PATÍA Y NORTE DEL CAUCA,76,VALLE DEL CAUCA,76563,PRADERA,"(3.42111, -76.2447)"
2,ARAUCA,81,ARAUCA,81065,ARAUQUITA,"(6.82194, -71.3236)"
2,ARAUCA,81,ARAUCA,81300,FORTUL,"(6.74611, -71.8567)"
2,ARAUCA,81,ARAUCA,81736,SARAVENA,"(6.92056, -71.8533)"
2,ARAUCA,81,ARAUCA,81794,TAME,"(6.46417, -71.7289)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05031,AMALFI,"(7.0, -74.9167)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05040,ANORÍ,"(7.16667, -75.0833)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05107,BRICEÑO,"(7.11222, -75.5542)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05120,CÁCERES,"(7.66667, -75.3333)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05154,CAUCASIA,"(7.91667, -75.0)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05250,EL BAGRE,"(7.59417, -74.8119)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05361,ITUANGO,"(7.25, -76.0)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05495,NECHÍ,"(8.09639, -74.7758)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05604,REMEDIOS,"(7.0, -74.4167)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05736,SEGOVIA,"(7.25, -74.75)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05790,TARAZÁ,"(7.58333, -75.35)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05854,VALDIVIA,"(7.33333, -75.3333)"
3,BAJO CAUCA Y NORDESTE ANTIOQUEÑO,05,ANTIOQUIA,05895,ZARAGOZA,"(7.75, -74.75)"
4,CATATUMBO,54,NORTE DE SANTANDER,54206,CONVENCIÓN,"(8.83333, -73.2)"
4,CATATUMBO,54,NORTE DE SANTANDER,54245,EL CARMEN,"(8.75, -73.3333)"
4,CATATUMBO,54,NORTE DE SANTANDER,54250,EL TARRA,"(8.58472, -73.0883)"
4,CATATUMBO,54,NORTE DE SANTANDER,54344,HACARÍ,"(8.5, -73.0833)"
4,CATATUMBO,54,NORTE DE SANTANDER,54670,SAN CALIXTO,"(8.75, -73.0333)"
4,CATATUMBO,54,NORTE DE SANTANDER,54720,SARDINATA,"(8.25, -72.75)"
4,CATATUMBO,54,NORTE DE SANTANDER,54800,TEORAMA,"(8.75, -73.1667)"
4,CATATUMBO,54,NORTE DE SANTANDER,54810,TIBÚ,"(8.64806, -72.7394)"
5,CHOCÓ,05,ANTIOQUIA,05475,MURINDÓ,"(6.8, -76.8)"
5,CHOCÓ,05,ANTIOQUIA,05873,VIGÍA DEL FUERTE,"(6.59194, -76.8986)"
5,CHOCÓ,27,CHOCÓ,27006,ACANDÍ,"(8.33333, -77.1667)"
5,CHOCÓ,27,CHOCÓ,27099,BOJAYA,"(6.52361, -76.9744)"
5,CHOCÓ,27,CHOCÓ,27150,CARMEN DEL DARIEN,"(7.158, -76.971)"
5,CHOCÓ,27,CHOCÓ,27205,CONDOTO,"(5.16667, -76.5)"
5,CHOCÓ,27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,"(4.25861, -77.3675)"
5,CHOCÓ,27,CHOCÓ,27361,ISTMINA,"(5.15889, -76.6917)"
5,CHOCÓ,27,CHOCÓ,27425,MEDIO ATRATO,"(6.0, -76.783)"
5,CHOCÓ,27,CHOCÓ,27450,MEDIO SAN JUAN,"(5.1, -76.683)"
5,CHOCÓ,27,CHOCÓ,27491,NÓVITA,"(4.91667, -76.5833)"
5,CHOCÓ,27,CHOCÓ,27615,RIOSUCIO,"(7.41667, -77.1667)"
5,CHOCÓ,27,CHOCÓ,27745,SIPÍ,"(4.58333, -76.5)"
5,CHOCÓ,27,CHOCÓ,27800,UNGUÍA,"(8.04306, -77.0961)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18001,FLORENCIA,"(1.6175, -75.6175)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18029,ALBANIA,"(1.33167, -75.8822)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,"(1.41667, -75.9167)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,"(1.35, -74.84)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18205,CURILLO,"(1.03528, -75.9247)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18247,EL DONCELLO,"(1.67944, -75.2792)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18256,EL PAUJIL,"(1.564, -75.332)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18410,LA MONTAÑITA,"(1.58333, -75.25)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18460,MILÁN,"(1.34833, -75.5117)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18479,MORELIA,"(1.4875, -75.725)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18592,PUERTO RICO,"(1.91417, -75.145)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,"(1.36111, -75.9883)"
6,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO,18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,"(2.1525, -74.7889)"
